SampleID,Zip_Code,Ward,Time,Lead_ppb
165,48507,9,Forty Five Sec,8.183
165,48507,9,Two Min,1.296
166,48507,9,First Draw,2.997
166,48507,9,Forty Five Sec,1.867
166,48507,9,Two Min,1.512
167,48507,9,First Draw,11
167,48507,9,Forty Five Sec,10.53
167,48507,9,Two Min,8.688
168,48507,9,First Draw,6.219
168,48507,9,Forty Five Sec,12.33
168,48507,9,Two Min,4.202
169,48503,8,First Draw,8.8
169,48503,8,Forty Five Sec,3.1
169,48503,8,Two Min,4.5
170,48504,6,First Draw,8.071
170,48504,6,Forty Five Sec,0.947
170,48504,6,Two Min,0.839
171,48507,9,First Draw,3.262
171,48507,9,Forty Five Sec,0.453
171,48507,9,Two Min,0.252
172,48503,8,First Draw,2.267
172,48503,8,Forty Five Sec,0.541
172,48503,8,Two Min,0.391
173,48505,3,First Draw,0.922
173,48505,3,Forty Five Sec,0.878
173,48505,3,Two Min,0.491
174,48504,6,First Draw,27.02
174,48504,6,Forty Five Sec,31.25
174,48504,6,Two Min,11.37
176,48503,8,First Draw,0.906
176,48503,8,Forty Five Sec,0.961
176,48503,8,Two Min,1.052
177,48507,9,First Draw,2.85
177,48507,9,Forty Five Sec,6.862
177,48507,9,Two Min,0.951
178,48504,2,First Draw,1.852
178,48504,2,Forty Five Sec,0.472
178,48504,2,Two Min,0.422
179,48506,4,First Draw,5.35
179,48506,4,Forty Five Sec,1.328
179,48506,4,Two Min,0.595
180,48503,7,First Draw,25.21
180,48503,7,Forty Five Sec,4.337
180,48503,7,Two Min,1.019
182,48504,6,First Draw,15.55
182,48504,6,Forty Five Sec,3.962
182,48504,6,Two Min,1.861
183,48506,4,First Draw,0.793
183,48506,4,Forty Five Sec,0.533
183,48506,4,Two Min,0.391
184,48506,4,First Draw,5.068
184,48506,4,Forty Five Sec,0.683
184,48506,4,Two Min,0.489
185,48507,8,First Draw,26.64
185,48507,8,Forty Five Sec,8.878
185,48507,8,Two Min,6.619
186,48506,4,First Draw,1.867
186,48506,4,Forty Five Sec,0.165
186,48506,4,Two Min,0.175
